JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ,
2460731.500000000, A.D. 2025-Feb-25 00:00:00.0000, -1.355754544652153E+08,  5.956832227889845E+07, -2.244694366313517E+03, -1.247767595597045E+01, -2.739016355758777E+01,  9.979068417589332E-04,
2460732.500000000, A.D. 2025-Feb-26 00:00:00.0000, -1.366327291525199E+08,  5.719273846513564E+07, -2.167880227632821E+03, -1.199560183798390E+01, -2.759872751863949E+01,  7.855149481592605E-04,
2460733.500000000, A.D. 2025-Feb-27 00:00:00.0000, -1.376481812221950E+08,  5.479952043894034E+07, -2.107797107495368E+03, -1.150959792199803E+01, -2.779832377640533E+01,  6.133929447340591E-04,
2460734.500000000, A.D. 2025-Feb-28 00:00:00.0000, -1.386214819804697E+08,  5.238945295190929E+07, -2.060264572963119E+03, -1.101992635954187E+01, -2.798872554208013E+01,  4.974585069348336E-04,
2460735.500000000, A.D. 2025-Mar-01 00:00:00.0000, -1.395523282499756E+08,  4.996333903915221E+07, -2.019848448123783E+03, -1.052691462392488E+01, -2.816974152496540E+01,  4.503444604715412E-04,
2460736.500000000, A.D. 2025-Mar-02 00:00:00.0000, -1.404404474900616E+08,  4.752199565661485E+07, -1.980262048356235E+03, -1.003094048111173E+01, -2.834124507037418E+01,  4.787722307888487E-04,
2460737.500000000, A.D. 2025-Mar-03 00:00:00.0000, -1.412856009251787E+08,  4.506624718605956E+07, -1.934955757996067E+03, -9.532401906971634E+00, -2.850319260918145E+01,  5.819777632538603E-04,
2460738.500000000, A.D. 2025-Mar-04 00:00:00.0000, -1.420875837446952E+08,  4.259691810746188E+07, -1.877770888768137E+03, -9.031681404331705E+00, -2.865562385913158E+01,  7.518461699600465E-04,
2460739.500000000, A.D. 2025-Mar-05 00:00:00.0000, -1.428462224208084E+08,  4.011482644055180E+07, -1.803510182052851E+03, -8.529116798515936E+00, -2.879864472475697E+01,  9.746151563447825E-04,
2460740.500000000, A.D. 2025-Mar-06 00:00:00.0000, -1.435613700834779E+08,  3.762077912820038E+07, -1.708320777827874E+03, -8.024986101865116E+00, -2.893240114157210E+01,  1.233353605282872E-03,
2460741.500000000, A.D. 2025-Mar-07 00:00:00.0000, -1.442329012224629E+08,  3.511556971432936E+07, -1.589862551987171E+03, -7.519506528825252E+00, -2.905705352001213E+01,  1.510324348330983E-03,
2460742.500000000, A.D. 2025-Mar-08 00:00:00.0000, -1.448607067424910E+08,  3.259997797039139E+07, -1.447298106791452E+03, -7.012842627335339E+00, -2.917275776505165E+01,  1.788701726951558E-03,
2460743.500000000, A.D. 2025-Mar-09 00:00:00.0000, -1.454446898995606E+08,  3.007477082133468E+07, -1.281166505726054E+03, -6.505117688620079E+00, -2.927965404557851E+01,  2.053560828066736E-03,
2460744.500000000, A.D. 2025-Mar-10 00:00:00.0000, -1.459847632157299E+08,  2.754070396763767E+07, -1.093196783114225E+03, -5.996424557295259E+00, -2.937786148851762E+01,  2.292323241466221E-03,
2460745.500000000, A.D. 2025-Mar-11 00:00:00.0000, -1.464808462426224E+08,  2.499852380275184E+07, -8.860976046063006E+02, -5.486834393820212E+00, -2.946747625232905E+01,  2.494899970203690E-03,
2460746.500000000, A.D. 2025-Mar-12 00:00:00.0000, -1.469328639961141E+08,  2.244896942275085E+07, -6.633410738948733E+02, -4.976403552459661E+00, -2.954857109041804E+01,  2.653704586611738E-03,
2460747.500000000, A.D. 2025-Mar-13 00:00:00.0000, -1.473407459303915E+08,  1.989277464387084E+07, -4.289479543138295E+02, -4.465179315681691E+00, -2.962119553882708E+01,  2.763612817252792E-03,
2460748.500000000, A.D. 2025-Mar-14 00:00:00.0000, -1.477044253809594E+08,  1.733066998159681E+07, -1.872783716889098E+02, -3.953205079848926E+00, -2.968537664706129E+01,  2.821873138167064E-03,
2460749.500000000, A.D. 2025-Mar-15 00:00:00.0000, -1.480238394388277E+08,  1.476338453438581E+07,  5.716679926589131E+01, -3.440525134372874E+00, -2.974112049907136E+01,  2.827944857010323E-03,
2460750.500000000, A.D. 2025-Mar-16 00:00:00.0000, -1.482989292112485E+08,  1.219164769513504E+07,  2.999268490746617E+02, -2.927188761485514E+00, -2.978841468277126E+01,  2.783250368674217E-03,
2460751.500000000, A.D. 2025-Mar-17 00:00:00.0000, -1.485296403911995E+08,  9.616190612960959E+06,  5.367375443601049E+02, -2.413253210299417E+00, -2.982723154146508E+01,  2.690859191282868E-03,
